area_id,area_name,latitude,longtitude,address,custno
28,신진도방파제,36.7827,126.0971,충청남도 태안군 근흥면 신진도리,
29,연포방파제,36.7669,126.1057,충청남도 태안군 근흥면 도황리,
30,마도방파제,36.7608,126.1252,충청남도 태안군 근흥면 마도리,
31,구산해변,36.7537,129.4682,경상북도 울진군 기성면 구산리 333-26,
32,몽산포방파제,36.7365,126.1677,충청남도 태안군 남면 몽산리,
33,장곰포방조제,36.70613,126.176822,충청남도 태안군 안면읍 고남면 누동리,
34,방포방파제,36.6512,126.2372,충청남도 태안군 안면읍 승언리,
35,태안 안목도 큰덕섬,36.6296,126.1906,충청남도 태안군 안목도 큰덕섬,
36,천리포방파제,36.623785,126.295659,충청남도 태안군 소원면 의항리,
37,모항방파제,36.616758,126.323935,충청남도 태안군 소원면 모항리,
38,고래불해변,36.5978,129.4106,경상북도 영덕군 병곡면 병곡리 58-27,
39,대진해변,36.5651,129.4266,경상북도 영덕군 영해면 대진리 426-3,
40,태안 마검포항,36.5592,126.3057,충청남도 태안군 마검포항,
41,태안반도 의항 갯바위,36.5571,126.2598,충청남도 태안반도 의항 갯바위,
42,영덕 해골바위,36.5285,129.4413,경상북도 영덕군 영해면 사진리 229,
43,경정2리,36.4947,129.4451,경상북도 영덕군 축산면 경정리 산265,
44,경정2리 차유돔바위,36.4875,129.4426,경상북도 영덕군 축산면 경정리 115-1,
45,경정1리 담물,36.48,129.4335,경상북도 영덕군 축산면 경정리 577-3,
46,영덕 동명축양장,36.4626,129.4372,경상북도 영덕군 영덕읍 석리 산17,
47,영덕 노물,36.4579,129.4356,경상북도 영덕군 영덕읍 석리 산1-2,
48,창포리 보릿골,36.4138,129.4303,경상북도 영덕군 영덕읍 창포리 189-2,
49,영덕 강구 하저,36.3702,129.3982,경상북도 영덕군 강구면 금진리 807,
50,보령방조제,36.3489,126.5462,충청남도 보령시 천북면,
51,부사방파제,36.3258,126.5977,충청남도 보령시 웅천읍,
52,녹도방파제,36.3042,126.6167,충청남도 보령시 오천면 녹도리,
53,보령 용섬,36.2904,126.5102,충청남도 보령시 용섬,
54,외연도방파제,36.2682,126.6103,충청남도 보령시 오천면 외연도리,
55,보령 외연도 마당여,36.2676,126.5906,충청남도 보령시 외연도 마당여,
56,홍원방파제,36.0476,126.7132,충청남도 서천군 서면 도둔리,
57,마량방파제,36.0464,126.6805,충청남도 서천군 서면 마량리,
58,구룡포 만세여,36.0242,129.5788,경상북도 포항시 남구 구룡포읍 석병리 1114 앞 해상,
59,군산 연도 누렁여,35.9817,126.4845,전라북도 군산시 연도 누렁여,
60,군산 연도 멸치망,35.981,126.4836,전라북도 군산시 연도 멸치망,
61,군산 연도 목끝여,35.9809,126.4763,전라북도 군산시 연도 목끝여,
62,군산 연도,35.9794,126.4833,전라북도 군산시 연도,
63,군산 연도 삼각바위,35.9772,126.4837,전라북도 군산시 연도 삼각바위,
64,구룡포 장길리 보릿돌,35.9748,129.5542,경상북도 포항시 남구 구룡포읍 하정리 1-34 앞 해상,
65,군산 개야도 등대섬,35.9737,126.4943,전라북도 군산시 개야도 등대섬,
